ZST_Nummer;RichtungsNR;RichtungsName;Fahrzeugkategorien;Kommentar;Herkunft (DAV, KT, ASTRA);Koordinaten E (LV95);Koordinaten N (LV95);WGS84_lat;WGS84_lon;Pfeilgrad
Z004;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679762.52;1246863.95;47.36779007;8.494623261;230
Z004;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679771.84;1246852.29;47.36768408;8.494744558;70
Z005;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678874.03;1247598.55;47.37450361;8.482991115;240
Z005;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678871.97;1247592.79;47.37445205;8.482962827;60
Z006;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678023.77;1249754.67;47.39399579;8.472110139;300
Z006;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678017.34;1249747.52;47.39393224;8.472023732;120
Z007;1;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678132.31;1250215.47;47.39812709;8.473628164;105
Z007;2;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678135.59;1250227;47.39823039;8.473673623;285
Z008;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678639.3;1251013.35;47.4052424;8.480483689;280
Z008;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678533.23;1250991.72;47.40506053;8.479074778;80
Z009;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678841.72;1252207.33;47.41595609;8.483375733;350
Z009;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678836.59;1252206.8;47.41595193;8.483307668;170
Z025;1;Höngg;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679760.06;1250365.74;47.39928342;8.495214871;20
Z025;2;Altstetten;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679758.14;1250394.64;47.39954357;8.495194594;200
Z033;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682974.4;1248893.38;47.38564492;8.537517002;45
Z033;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682953.4;1248912.91;47.38582321;8.537242541;225
Z038;1;Bucheggplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682070.59;1249909.12;47.39489304;8.525735057;20
Z038;2;Hardbrücke;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682064.64;1249911.79;47.39491779;8.525656743;200
Z039;4;Albisriederplatz und Hohlstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681286.9;1248596.51;47.38318543;8.51511708;210
Z050;1;Höngg;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679597.69;1249679.24;47.39312911;8.492942023;10
Z050;2;Altstetten;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679589.59;1249680.65;47.39314277;8.492834998;190
Z060;5;Bernerstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678202.38;1250180.13;47.39780094;8.474550081;15
Z060;6;Badenerstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678191.96;1250174.04;47.39774741;8.474411001;195
Z061;1;Hohlstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681022.02;1249303.64;47.38957755;8.511737733;240
Z061;2;Pfingstweidstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681041.14;1249300.71;47.38954885;8.511990409;60
Z063;1;Hubertus;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680111.39;1247945.02;47.37747029;8.49943495;280
Z063;2;Albisriederplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680119.19;1247929.69;47.37733148;8.499535479;90
Z064;3;Hubertus;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680149.109;1247840.135;47.37652243;8.499915571;320
Z064;4;Birmensdorferstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680149.561;1247829.965;47.37643091;8.499919734;140
Z066;1;Helvetiaplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681813.28;1247994.07;47.3777023;8.521976975;120
Z066;2;Seebahnstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681828.48;1247992.53;47.37768657;8.522177942;300
Z070;1;Hardplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681629.07;1248307.08;47.38054017;8.51959511;290
Z070;2;Seebahnstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681629.46;1248290.46;47.38039065;8.519597243;110
Z071;1;Albisriederplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681183.65;1247898.67;47.37692221;8.513623308;290
Z071;2;Seebahnstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681175.41;1247887.5;47.37682277;8.513512185;110
Z076;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680534;1249530;47.39167313;8.5053156;290
Z076;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680408;1249570;47.39204826;8.503654097;110
Z079;3;Uetlibergtunnel;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681711.03;1244591.58;47.34711492;8.520002348;240
Z079;4;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681737.76;1244573.5;47.34694901;8.520352754;35
Z080;5;Chur;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681720.14;1244585.09;47.34705543;8.520121712;225
Z080;6;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681728.49;1244579.52;47.3470043;8.520231187;45
Z081;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681455.2;1249140.27;47.38805488;8.517444608;300
Z081;2;Hardbrücke;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681492.61;1249103.94;47.38772353;8.517933399;120
Z082;1;Bucheggplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681290.57;1248593.98;47.38316223;8.515165217;25
Z082;2;Albissriederplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681286.9;1248596.51;47.38318543;8.51511708;205
Z083;1;Bucheggplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681323.95;1248627.21;47.38345696;8.515613256;wie Z082?
Z083;3;Hohlstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681302.84;1248632.97;47.38351136;8.515334774;205
Z092;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680353.27;1250146.37;47.39723845;8.503032813;300
Z092;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680351.25;1250143.93;47.39721675;8.50300562;120
Z093;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680756.38;1249768.58;47.39379155;8.508303781;275
Z093;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680804.49;1249763.88;47.39374338;8.508940106;95
M0709;1;Normalspur Richtung Zürich;PW, LW, unklar;Geschwindigkeit: nein;KT;2677861.67;1249835.692;47.39474363;8.469977346;110
M0709;2;Normalspur Richtung Schlieren;PW, LW, unklar;Geschwindigkeit: nein;KT;2677861.164;1249849.349;47.39486651;8.469973025;290
M0609;1_2;Richtung Zürich;PW, LW, unklar;keine verschiedenen Koordinaten vorhanden;KT;2677704;1247050;47.36970923;8.467405399;60
M0609;3_4;Richtung Birmensdorf;PW, LW, unklar;keine verschiedenen Koordinaten vorhanden;KT;2677704;1247050;47.36970923;8.467405399;240
M2420;1_2;Richtung Zürich;PW, LW, unklar;keine verschiedenen Koordinaten vorhanden;KT;2678373;1251014;47.40527999;8.476956118;95
M2420;3;Richtung Oberengstringen;PW, LW, unklar;keine verschiedenen Koordinaten vorhanden;KT;2678373;1251014;47.40527999;8.476956118;275
O0287;1_2;Richtung Glattbrugg;"""11""";Geschwindigkeit: ja;ASTRA;2678874.9145;1253137.386;47.42431641;8.483979713;60
O0287;3_4;Richtung Verzw. A1C/A1;"""11""";Geschwindigkeit: ja;ASTRA;2678686.632;1253149.8115;47.42442891;8.483898648;240
O0066;1_2_3_4;Richtung Zürich;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2677044;1250996;47.40527492;8.459347647;300
O0066;5_6_7;Richtung Bern;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2677044;1250996;47.40527492;8.459347647;110
O0301;1_2_3_4;Rictung Verzweigung Zürich W;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2674350;1246800;47.36784776;8.422962584;180
O0301;5_6_7_8;Richtung Urdorf;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2674350;1246800;47.36784776;8.422962584;340
O0518;1;Einfahrt ZH Bernerstrasse;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2679691;1249725;47.39352936;8.494185971;90
O0518;6;Ausfahrt Richtung Limmattalerkreuz Bernerstrasse;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2679691;1249725;47.39352936;8.494185971;275
O0518;2_3;Richtung Zürich;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2679691;1249725;47.39352936;8.494185971;90
O0518;4_5;Richtung Limmattalerkreuz;"""11""";keine verschiedenen Koordinaten vorhanden;ASTRA;2679691;1249725;47.39352936;8.494185971;275
Z098;1;Letzigrund;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680065.92;1247982.342;47.37781147;8.4988396;30
Z098;2;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2680054.761;1247971.654;47.37771671;8.498689942;210
Z099;1;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679611.727;1247985.555;47.3778954;8.492826578;50
Z099;2;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679605.908;1247992.186;47.37795574;8.492750713;230
Z100;1;Altstetter-/Luggwegstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679266.719;1248465.663;47.38225482;8.488343638;285
Z100;2;Albisriederstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679274.175;1248454.831;47.3821565;8.488440446;105
Z101;5;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678914;1248430;47.38197642;8.483666892;10
Z101;6;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678911;1248430;47.38197678;8.483627168;190
Z102;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678637;1249346;47.39024753;8.480160056;305
Z102;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678632;1249335;47.3901492;8.480091906;125
Z103;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678736.674;1249525.658;47.39185136;8.481511688;250
Z103;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678790.668;1249531.613;47.39189846;8.482227817;80
Z104;1;Altstetten;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679019.898;1249981.167;47.39591402;8.485343086;210
Z104;2;Höngg/Europabrücke;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679022.818;1249979.16;47.39589562;8.485381406;30